ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,Spend,Duration of Ad,Impressions
c852829eddc393a43255244521c0d297e62128d511b482f3eecb4a10ec061b7a,https://www.snap.com/political-ads/asset/14a9110a73edb867096bf988c1c79102d28924e26b1e79c2f6c647a4414a0e68?mediaType=jpg,USD,1610,504952,14-Jan-2021,1-Mar-2021,1610,46,504952
cc81858f5a4d161f36ab43ec5147312b936dc31c680bd0167e9afe75a1e25273,https://www.snap.com/political-ads/asset/6b582da9692603b97e47f5ff90e67e5c5b17281a6dba95c0a30097f84dfe9e8a?mediaType=mp4,USD,1605,239956,2-Feb-2021,4-Mar-2021,1605,30,239956
16a8dcd13fd760940973325df96c46c83e96888cb76af2fe9e00db667e5b3023,https://www.snap.com/political-ads/asset/4d66cd969add7470c5795e7164d6c96fcea33c8d3135490b3ba655e53f23fbc8?mediaType=png,GBP,1559,721611,18-Jan-2021,14-Feb-2021,1559,27,721611
429ec9ba7da2dc931a30790ea37c9b7ebafe3ecba7ee0c7d473a669f174048e9,https://www.snap.com/political-ads/asset/01ee6f586d07c2d855a499889991178c34e995778777151eb8de484c735be69e?mediaType=mp4,USD,1534,90622,1-Jan-2021,5-Jan-2021,1534,4,90622
52746af24c68131e44ff46195de6fe120863966fe93b11e05f62df3b557f791c,https://www.snap.com/political-ads/asset/71f308eb9e2c4d46c390d8ee5b97c0e48d649f17f6309eace1f2ce0a6dde00a9?mediaType=jpg,USD,1500,300871,16-Jan-2021,31-Jan-2021,1500,15,300871
e64837e1bb09b73e4911e45e12542a3ed33f0c6c6b82ae2b5aa39ba53bc17419,https://www.snap.com/political-ads/asset/71f308eb9e2c4d46c390d8ee5b97c0e48d649f17f6309eace1f2ce0a6dde00a9?mediaType=jpg,USD,1500,853541,16-Jan-2021,31-Jan-2021,1500,15,853541
0f12f56bd6886815a2780006fb93d69609c31f292d830785cebf55dfc570959c,https://www.snap.com/political-ads/asset/f324dbefda5103cd13bf4339352f8c9d5465ff8f47fe2fa7e880110059c8d02c?mediaType=jpg,USD,1486,554390,29-Jan-2021,31-Jan-2021,1486,2,554390
36306c95c30b8df1f30f84bb80b3f240ee42e8a265548d38f17ec83779dc703e,https://www.snap.com/political-ads/asset/e54377b26305c4281d7a58bdef3db38f0029a84b36916647ac879f5c8ca294cc?mediaType=mp4,USD,1461,207372,2-Feb-2021,4-Mar-2021,1461,30,207372
d08617c20d38a8c59f37320d7f34e10afb6d938c8074816499a4b084974cfe83,https://www.snap.com/political-ads/asset/653a04f68027bba6eb8b1578b4488051ae99648a87f31bf4e5643efd8adba5e8?mediaType=mp4,USD,1400,433864,9-Feb-2021,1-Mar-2021,1400,20,433864
3cb52bf445c83bd86f2a90ecfe674e0abbf07ba2d886dddd454d53a0a34b0a7c,https://www.snap.com/political-ads/asset/97367d7fb1a00016e73bf6cc83d90c49ae4d2fe234750ce337659b76df6ccd15?mediaType=mp4,USD,1391,145249,15-Jan-2021,1-Feb-2021,1391,17,145249
